,state_po,county,FIPS,candidate,totalvotes,perc_rep,votes_rep,perc_dem,votes_dem,votes_diff,pct_diff
0,AL,Autauga,01001,George W. Bush,20081,75.67,15196.0,23.69,4758.0,-10438.0,-51.98
1,AL,Baldwin,01003,George W. Bush,69320,76.42,52971.0,22.5,15599.0,-37372.0,-53.91
2,AL,Barbour,01005,George W. Bush,10777,54.74,5899.0,44.84,4832.0,-1067.0,-9.9
3,AL,Bibb,01007,George W. Bush,7600,72.0,5472.0,27.49,2089.0,-3383.0,-44.51
4,AL,Blount,01009,George W. Bush,21504,80.85,17386.0,18.31,3938.0,-13448.0,-62.54
5,AL,Butler,01013,George W. Bush,8416,59.16,4979.0,40.55,3413.0,-1566.0,-18.61
6,AL,Calhoun,01015,George W. Bush,45249,65.89,29814.0,33.33,15083.0,-14731.0,-32.56
7,AL,Chambers,01017,George W. Bush,13032,58.49,7622.0,41.03,5347.0,-2275.0,-17.46
8,AL,Cherokee,01019,George W. Bush,9049,65.45,5923.0,33.59,3040.0,-2883.0,-31.86
9,AL,Chilton,01021,George W. Bush,16693,76.85,12829.0,22.63,3778.0,-9051.0,-54.22
10,AL,Choctaw,01023,George W. Bush,7227,53.92,3897.0,45.7,3303.0,-594.0,-8.22
11,AL,Clarke,01025,George W. Bush,11394,59.07,6730.0,40.61,4627.0,-2103.0,-18.46
12,AL,Clay,01027,George W. Bush,6576,70.32,4624.0,28.79,1893.0,-2731.0,-41.53
13,AL,Cleburne,01029,George W. Bush,5798,75.37,4370.0,23.99,1391.0,-2979.0,-51.38
14,AL,Coffee,01031,George W. Bush,17616,73.9,13019.0,25.43,4480.0,-8539.0,-48.47
15,AL,Colbert,01033,George W. Bush,23935,55.1,13188.0,44.28,10598.0,-2590.0,-10.82
16,AL,Conecuh,01035,George W. Bush,6021,54.33,3271.0,45.16,2719.0,-552.0,-9.17
17,AL,Coosa,01037,George W. Bush,5001,58.09,2905.0,41.09,2055.0,-850.0,-17.0
18,AL,Covington,01039,George W. Bush,14627,76.02,11119.0,23.4,3423.0,-7696.0,-52.62
19,AL,Crenshaw,01041,George W. Bush,5500,68.67,3777.0,30.87,1698.0,-2079.0,-37.8
20,AL,Cullman,01043,George W. Bush,35191,76.21,26818.0,22.86,8045.0,-18773.0,-53.35
21,AL,Dale,01045,George W. Bush,18231,74.71,13621.0,24.6,4484.0,-9137.0,-50.12
22,AL,DeKalb,01049,George W. Bush,24135,70.04,16904.0,29.38,7092.0,-9812.0,-40.65
23,AL,Elmore,01051,George W. Bush,28680,76.9,22056.0,22.56,6471.0,-15585.0,-54.34
24,AL,Escambia,01053,George W. Bush,12395,68.68,8513.0,30.77,3814.0,-4699.0,-37.91
25,AL,Etowah,01055,George W. Bush,42680,63.26,26999.0,35.91,15328.0,-11671.0,-27.35
26,AL,Fayette,01057,George W. Bush,8002,69.16,5534.0,30.09,2408.0,-3126.0,-39.07
27,AL,Franklin,01059,George W. Bush,12269,62.68,7690.0,36.79,4514.0,-3176.0,-25.89
28,AL,Geneva,01061,George W. Bush,10520,79.3,8342.0,20.09,2113.0,-6229.0,-59.21
29,AL,Henry,01067,George W. Bush,7361,66.31,4881.0,33.31,2452.0,-2429.0,-33.0
30,AL,Houston,01069,George W. Bush,36201,74.24,26874.0,25.26,9144.0,-17730.0,-48.98
31,AL,Jackson,01071,George W. Bush,20321,56.76,11534.0,42.49,8635.0,-2899.0,-14.27
32,AL,Jefferson,01073,George W. Bush,292967,54.16,158680.0,45.15,132286.0,-26394.0,-9.01
33,AL,Lamar,01075,George W. Bush,6885,71.08,4894.0,28.41,1956.0,-2938.0,-42.67
34,AL,Lauderdale,01077,George W. Bush,37107,59.72,22161.0,39.42,14628.0,-7533.0,-20.3
35,AL,Lawrence,01079,George W. Bush,14001,55.21,7730.0,43.96,6155.0,-1575.0,-11.25
36,AL,Lee,01081,George W. Bush,44610,62.7,27972.0,36.38,16227.0,-11745.0,-26.33
37,AL,Limestone,01083,George W. Bush,29073,67.77,19702.0,31.39,9126.0,-10576.0,-36.38
38,AL,Madison,01089,George W. Bush,131062,58.88,77173.0,40.17,52644.0,-24529.0,-18.72
39,AL,Marengo,01091,George W. Bush,10322,50.91,5255.0,48.8,5037.0,-218.0,-2.11
40,AL,Marion,01093,George W. Bush,12875,69.77,8983.0,29.58,3808.0,-5175.0,-40.19
41,AL,Marshall,01095,George W. Bush,31491,72.35,22783.0,26.84,8452.0,-14331.0,-45.51
42,AL,Mobile,01097,George W. Bush,156771,58.69,92014.0,40.65,63732.0,-28282.0,-18.04
43,AL,Monroe,01099,George W. Bush,9534,61.16,5831.0,38.45,3666.0,-2165.0,-22.71
44,AL,Morgan,01103,George W. Bush,47007,69.09,32477.0,30.06,14131.0,-18346.0,-39.03
45,AL,Pickens,01107,George W. Bush,9132,56.61,5170.0,42.87,3915.0,-1255.0,-13.74
46,AL,Pike,01109,George W. Bush,11883,62.97,7483.0,36.47,4334.0,-3149.0,-26.5
47,AL,Randolph,01111,George W. Bush,9001,68.07,6127.0,31.3,2817.0,-3310.0,-36.77
48,AL,St. Clair,01115,George W. Bush,29161,80.59,23500.0,18.71,5456.0,-18044.0,-61.88
49,AL,Shelby,01117,George W. Bush,78906,80.39,63435.0,18.82,14850.0,-48585.0,-61.57
50,AL,Talladega,01121,George W. Bush,29898,61.31,18331.0,38.04,11374.0,-6957.0,-23.27
51,AL,Tallapoosa,01123,George W. Bush,17952,69.03,12392.0,30.36,5451.0,-6941.0,-38.66
52,AL,Tuscaloosa,01125,George W. Bush,69830,61.4,42877.0,37.87,26447.0,-16430.0,-23.53
53,AL,Walker,01127,George W. Bush,28367,67.57,19167.0,31.78,9016.0,-10151.0,-35.78
54,AL,Washington,01129,George W. Bush,8247,61.36,5060.0,38.14,3145.0,-1915.0,-23.22
55,AL,Winston,01133,George W. Bush,10423,78.0,8130.0,21.45,2236.0,-5894.0,-56.55
56,AZ,Cochise,04003,George W. Bush,44483,59.7,26556.0,39.37,17514.0,-9042.0,-20.33
57,AZ,Gila,04007,George W. Bush,20843,59.22,12343.0,39.89,8314.0,-4029.0,-19.33
58,AZ,Graham,04009,George W. Bush,10720,69.65,7467.0,29.71,3185.0,-4282.0,-39.94
59,AZ,Greenlee,04011,George W. Bush,3067,61.92,1899.0,37.37,1146.0,-753.0,-24.55
60,AZ,La Paz,04012,George W. Bush,5055,62.47,3158.0,36.58,1849.0,-1309.0,-25.9
61,AZ,Maricopa,04013,George W. Bush,1192751,56.97,679455.0,42.33,504849.0,-174606.0,-14.64
62,AZ,Mohave,04015,George W. Bush,57807,63.65,36794.0,35.47,20503.0,-16291.0,-28.18
63,AZ,Navajo,04017,George W. Bush,32343,53.42,17277.0,45.81,14815.0,-2462.0,-7.61
64,AZ,Pinal,04021,George W. Bush,64622,57.27,37006.0,42.17,27252.0,-9754.0,-15.09
65,AZ,Yavapai,04025,George W. Bush,87389,61.18,53468.0,37.91,33127.0,-20341.0,-23.28
66,AZ,Yuma,04027,George W. Bush,38465,57.67,22184.0,41.68,16032.0,-6152.0,-15.99
67,AR,Arkansas,05001,George W. Bush,6946,54.55,3789.0,44.77,3110.0,-679.0,-9.78
68,AR,Ashley,05003,George W. Bush,8512,53.65,4567.0,45.59,3881.0,-686.0,-8.06
69,AR,Baxter,05005,George W. Bush,18530,60.05,11128.0,38.47,7129.0,-3999.0,-21.58
70,AR,Benton,05007,George W. Bush,68121,68.37,46571.0,30.47,20756.0,-25815.0,-37.9
71,AR,Boone,05009,George W. Bush,14777,66.27,9793.0,31.4,4640.0,-5153.0,-34.87
72,AR,Calhoun,05013,George W. Bush,2303,58.23,1341.0,40.9,942.0,-399.0,-17.33
73,AR,Carroll,05015,George W. Bush,10481,59.0,6184.0,39.7,4161.0,-2023.0,-19.3
74,AR,Cleburne,05023,George W. Bush,11835,59.16,7001.0,39.73,4702.0,-2299.0,-19.43
75,AR,Cleveland,05025,George W. Bush,3496,57.47,2009.0,41.48,1450.0,-559.0,-15.99
76,AR,Columbia,05027,George W. Bush,9909,57.82,5729.0,41.46,4108.0,-1621.0,-16.36
77,AR,Conway,05029,George W. Bush,8649,49.64,4293.0,49.24,4259.0,-34.0,-0.39
78,AR,Craighead,05031,George W. Bush,29801,53.08,15818.0,45.85,13665.0,-2153.0,-7.22
79,AR,Crawford,05033,George W. Bush,20401,65.64,13391.0,33.16,6764.0,-6627.0,-32.48
80,AR,Cross,05037,George W. Bush,7074,54.62,3864.0,44.32,3135.0,-729.0,-10.31
81,AR,Dallas,05039,George W. Bush,3383,50.22,1699.0,49.28,1667.0,-32.0,-0.95
82,AR,Drew,05043,George W. Bush,6249,52.2,3262.0,47.24,2952.0,-310.0,-4.96
83,AR,Faulkner,05045,George W. Bush,36686,58.64,21514.0,39.63,14538.0,-6976.0,-19.02
84,AR,Franklin,05047,George W. Bush,7289,57.36,4181.0,41.27,3008.0,-1173.0,-16.09
85,AR,Fulton,05049,George W. Bush,4955,50.9,2522.0,47.83,2370.0,-152.0,-3.07
86,AR,Garland,05051,George W. Bush,40154,54.13,21734.0,44.93,18040.0,-3694.0,-9.2
87,AR,Grant,05053,George W. Bush,6770,62.11,4205.0,37.28,2524.0,-1681.0,-24.83
88,AR,Greene,05055,George W. Bush,13947,51.85,7232.0,47.04,6561.0,-671.0,-4.81
89,AR,Hot Spring,05059,George W. Bush,12068,49.4,5962.0,48.91,5903.0,-59.0,-0.49
90,AR,Howard,05061,George W. Bush,4943,55.35,2736.0,43.82,2166.0,-570.0,-11.53
91,AR,Independence,05063,George W. Bush,13011,57.11,7430.0,41.83,5443.0,-1987.0,-15.27
92,AR,Izard,05065,George W. Bush,5493,51.57,2833.0,47.08,2586.0,-247.0,-4.5
93,AR,Johnson,05071,George W. Bush,8044,53.59,4311.0,45.03,3622.0,-689.0,-8.57
94,AR,Lafayette,05073,George W. Bush,3191,50.27,1604.0,49.11,1567.0,-37.0,-1.16
95,AR,Logan,05083,George W. Bush,8551,59.36,5076.0,39.31,3361.0,-1715.0,-20.06
96,AR,Lonoke,05085,George W. Bush,22030,65.36,14398.0,33.84,7454.0,-6944.0,-31.52
97,AR,Madison,05087,George W. Bush,6384,60.67,3873.0,37.92,2421.0,-1452.0,-22.74
98,AR,Marion,05089,George W. Bush,6867,60.1,4127.0,37.89,2602.0,-1525.0,-22.21
99,AR,Miller,05091,George W. Bush,14678,57.56,8448.0,41.82,6139.0,-2309.0,-15.73
100,AR,Montgomery,05097,George W. Bush,3958,59.8,2367.0,38.5,1524.0,-843.0,-21.3
